,País_origem,País,Quantidade_litros,Valor_BRL,Valor_USD
0,Brasil,Afeganistão,58,58,11.6
1,Brasil,"Alemanha, República Democrática",3455448,3455448,691089.6
2,Brasil,Angola,745061,745061,149012.2
3,Brasil,Anguilla,5,5,1.0
4,Brasil,Antilhas Holandesas,239924,239924,47984.8
5,Brasil,Antígua e Barbuda,9848,9848,1969.6
6,Brasil,Argentina,272704,272704,54540.8
7,Brasil,Aruba,3794,3794,758.8
8,Brasil,Austrália,743912,743912,148782.4
9,Brasil,Bahamas,90741,90741,18148.2
10,Brasil,Bangladesh,158,158,31.6
11,Brasil,Barbados,3181,3181,636.2
12,Brasil,Barein,7641,7641,1528.2
13,Brasil,Belice,55,55,11.0
14,Brasil,Benin,53182,53182,10636.4
15,Brasil,Bolívia,494558,494558,98911.6
16,Brasil,Brasil,3554,3554,710.8
17,Brasil,Bulgária,1754,1754,350.8
18,Brasil,Bélgica,1797909,1797909,359581.8
19,Brasil,Bósnia-Herzegovina,117,117,23.4
20,Brasil,Cabo Verde,63011,63011,12602.2
21,Brasil,Camarões,9427,9427,1885.4
22,Brasil,Canadá,1292933,1292933,258586.6
23,Brasil,Catar,94973,94973,18994.6
24,Brasil,"Cayman, Ilhas",2414,2414,482.8
25,Brasil,Chile,93805,93805,18761.0
26,Brasil,China,7256012,7256012,1451202.4
27,Brasil,Chipre,24931,24931,4986.2
28,Brasil,Cingapura,118208,118208,23641.6
29,Brasil,"Cocos (Keeling), Ilhas",118,118,23.6
30,Brasil,Colômbia,131936,131936,26387.2
31,Brasil,Comores,68,68,13.6
32,Brasil,Congo,965,965,193.0
33,Brasil,"Coreia, Republica Sul",19480,19480,3896.0
34,Brasil,Costa Rica,293,293,58.6
35,Brasil,Costa do Marfim,37,37,7.4
36,Brasil,Croácia,701,701,140.2
37,Brasil,Cuba,575696,575696,115139.2
38,Brasil,Curaçao,511843,511843,102368.6
39,Brasil,Dinamarca,453721,453721,90744.2
40,Brasil,Dominica,4845,4845,969.0
41,Brasil,El Salvador,199,199,39.8
42,Brasil,Emirados Arabes Unidos,162200,162200,32440.0
43,Brasil,Equador,8000,8000,1600.0
44,Brasil,"Eslovaca, Republica",16695,16695,3339.0
45,Brasil,Espanha,5801600,5801600,1160320.0
46,Brasil,Estados Unidos,13247971,13247971,2649594.2
47,Brasil,Estônia,120951,120951,24190.2
48,Brasil,Filipinas,45670,45670,9134.0
49,Brasil,Finlândia,624247,624247,124849.4
50,Brasil,França,1037965,1037965,207593.0
51,Brasil,Gana,241913,241913,48382.6
52,Brasil,Gibraltar,3800,3800,760.0
53,Brasil,Granada,13580,13580,2716.0
54,Brasil,Grécia,35793,35793,7158.6
55,Brasil,Guatemala,63494,63494,12698.8
56,Brasil,Guiana,26582,26582,5316.4
57,Brasil,Guiana Francesa,222,222,44.4
58,Brasil,Guine Bissau,199,199,39.8
59,Brasil,Guine Equatorial,102649,102649,20529.8
60,Brasil,Haiti,4118874,4118874,823774.8
61,Brasil,Honduras,850,850,170.0
62,Brasil,Hong Kong,603091,603091,120618.2
63,Brasil,Hungria,5379,5379,1075.8
64,Brasil,Ilha de Man,1750,1750,350.0
65,Brasil,Ilhas Virgens,68,68,13.6
66,Brasil,India,1777,1777,355.4
67,Brasil,Indonésia,81,81,16.2
68,Brasil,Iraque,72,72,14.4
69,Brasil,Irlanda,121760,121760,24352.0
70,Brasil,Irã,667,667,133.4
71,Brasil,Itália,166969,166969,33393.8
72,Brasil,Jamaica,75,75,15.0
73,Brasil,Japão,3559484,3559484,711896.8
74,Brasil,Jordânia,141,141,28.2
75,Brasil,Letônia,4188,4188,837.6
76,Brasil,Libéria,125700,125700,25140.0
77,Brasil,Luxemburgo,436556,436556,87311.2
78,Brasil,Líbano,79,79,15.8
79,Brasil,Malta,65054,65054,13010.8
80,Brasil,Malásia,288,288,57.6
81,Brasil,"Marshall, Ilhas",118037,118037,23607.4
82,Brasil,Mauritânia,179,179,35.8
83,Brasil,Montenegro,251,251,50.2
84,Brasil,Moçambique,2397,2397,479.4
85,Brasil,México,50249,50249,10049.8
86,Brasil,Namibia,1151,1151,230.2
87,Brasil,Nicaragua,138,138,27.6
88,Brasil,Nigéria,420192,420192,84038.4
89,Brasil,Noruega,296899,296899,59379.8
90,Brasil,Nova Caledônia,19244,19244,3848.8
91,Brasil,Nova Zelândia,89333,89333,17866.6
92,Brasil,Omã,959,959,191.8
93,Brasil,Panamá,224769,224769,44953.8
94,Brasil,Paraguai,67933899,67933899,13586779.8
95,Brasil,Países Baixos,5027861,5027861,1005572.2
96,Brasil,Peru,78556,78556,15711.2
97,Brasil,Polônia,765655,765655,153131.0
98,Brasil,Porto Rico,101,101,20.2
99,Brasil,Portugal,1001107,1001107,200221.4
100,Brasil,Quênia,42181,42181,8436.2
101,Brasil,Reino Unido,5951119,5951119,1190223.8
102,Brasil,República Dominicana,105,105,21.0
103,Brasil,Rússia,64534389,64534389,12906877.8
104,Brasil,Senegal,109,109,21.8
105,Brasil,Serra Leoa,65898,65898,13179.6
106,Brasil,Singapura,38717,38717,7743.4
107,Brasil,Suazilândia,146,146,29.2
108,Brasil,Suriname,73606,73606,14721.2
109,Brasil,Suécia,447045,447045,89409.0
110,Brasil,Suíça,1059272,1059272,211854.4
111,Brasil,São Tomé e Príncipe,4648,4648,929.6
112,Brasil,São Vicente e Granadinas,235,235,47.0
113,Brasil,Tailândia,9424,9424,1884.8
114,Brasil,Taiwan (FORMOSA),353273,353273,70654.6
115,Brasil,Tanzânia,118,118,23.6
116,Brasil,"Tcheca, República",423043,423043,84608.6
117,Brasil,Togo,59907,59907,11981.4
118,Brasil,Trinidade Tobago,5332,5332,1066.4
119,Brasil,Tunísia,122,122,24.4
120,Brasil,Turquia,3099,3099,619.8
121,Brasil,Tuvalu,130,130,26.0
122,Brasil,Uruguai,2012598,2012598,402519.6
123,Brasil,Vanuatu,175,175,35.0
124,Brasil,Venezuela,144470,144470,28894.0
125,Brasil,Vietnã,22940,22940,4588.0
126,Brasil,África do Sul,148,148,29.6
127,Brasil,Áustria,6124,6124,1224.8
